quantity,q025,q16,median,q84,q975
density_homogeneity_mpc_h,101.15382601546888,107.71663757971298,114.57476696331301,120.39662710213754,125.00047452410335
transport_homogeneity_mpc_h,395.8596541176226,418.5554083813926,446.1084193952372,486.9162581670325,570.769815256539
transport_to_density_ratio,3.3493437594211843,3.598456092971643,3.912660946105973,4.369273634873572,5.112234290143926
