diffusion_time,sqrt_time,n_bins,max_distance_mpc_h,plateau_estimate,tail_fraction,tail_bins,tail_fractional_rise,plateau_accepted,ell_f0.400_mpc_h,target_f0.400,ell_f0.500_mpc_h,target_f0.500,ell_f0.600_mpc_h,target_f0.600
512,22.627416997969522,96,2984.635416666667,1.014505670615613,0.2,20,0.0,True,114.51536443932356,0.4058022682462452,146.62301266733354,0.5072528353078065,183.1074424322906,0.6087034023693678
1024,32.0,96,2984.635416666667,1.0282261345788075,0.2,20,0.007409883475661508,True,163.04577800962903,0.411290453831523,206.90389163494615,0.5141130672894038,261.99330934630626,0.6169356807472844
2048,45.254833995939045,96,2984.635416666667,1.061962328545576,0.2,20,0.002723818717215013,True,234.45004493036117,0.42478493141823037,300.8994828122955,0.530981164272788,378.47256210720013,0.6371773971273456
4096,64.0,96,2984.635416666667,1.104562951083876,0.2,20,0.003722670229139909,True,339.6187348897964,0.4418251804335504,434.4005621521508,0.552281475541938,522.8532940750815,0.6627377706503256
8192,90.50966799187809,96,2984.635416666667,1.1696887849764686,0.2,20,0.010054172548992994,True,467.2939949300779,0.46787551399058747,600.7251045443246,0.5848443924882343,739.2085366185823,0.7018132709858811
16384,128.0,96,2984.635416666667,1.2701813255480172,0.2,20,0.02793819840870317,True,620.3876577685402,0.508072530219207,799.1886709733709,0.6350906627740086,1009.7999369710584,0.7621087953288103
