observable,z,comparison,n_or_pairs,q025,q16,median,q84,q975,probability_gt_0,probability_lt_0
transport,0.49,z049-z0,9213,-82.97833934401831,-21.641316466058715,3.7054139863191153,25.959417881867935,61.987726848865314,0.5673504830131336,0.4326495169868664
density,0.49,z049-z0,100000000,-20.562278269205727,-11.52776813333005,-2.320395707492743,7.059910387246468,16.127110739556407,0.40194222,0.59805778
transport,1.03,z103-z0,9178,-60.77229691492869,-16.518267775906708,5.9237435766830515,29.14208317307199,80.6614486843889,0.6174547831771627,0.3825452168228372
density,1.03,z103-z0,100000000,-17.696566236066566,-9.507959563436152,0.19611348278518648,12.019754546257637,23.702716880190017,0.50728258,0.49271742
transport,2.03,z203-z0,9297,-80.18426168574351,-20.41070533451034,5.974677697119205,29.33361416500602,68.51880033047416,0.6030977734753146,0.3969022265246854
density,2.03,z203-z0,100000000,-29.63396212446174,-22.92400822766222,-14.769358636314685,-5.62733893904737,3.6292451599735998,0.05648002,0.94351998
