n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
118,0.011375477129571,72,62260.7291514705,0.00018566719625773794,3.8532583395053125e-09,3.72948020866682e-09,8.777355462966796e-05
121,0.0115191730631625,78,57193.13079096968,0.00014923562690178163,3.0821745962460374e-09,2.9743933101503063e-09,7.020900143863903e-05
108,0.0108827961854053,32,53842.18424638624,0.00038454224934378274,3.0673473540278147e-09,2.9534089097778048e-09,6.987125098430133e-05
131,0.0119857238067382,120,68819.31620038483,7.205491848008977e-05,2.754872343707916e-09,2.674811323174483e-09,6.275336789104348e-05
134,0.0121221880576531,168,56970.69371148876,5.791632096283226e-05,2.566303430809839e-09,2.4762113759787665e-09,5.845794767277663e-05
115,0.0112299426441855,48,48778.37363552846,0.00023099248136572572,2.50387501401227e-09,2.4012116889608363e-09,5.703588780306942e-05
123,0.0116139826709684,48,72807.94089945014,0.00012901218707672205,2.0873581537757295e-09,2.0300194039638534e-09,4.7548030471696394e-05
137,0.0122571330839966,96,80384.55662973541,4.655199540329317e-05,1.6631384492103122e-09,1.6217588977407183e-09,3.788470968370205e-05
120,0.0114714744190909,48,43342.22008300121,0.00016050678752052412,1.5459378910066815e-09,1.4746015409975599e-09,3.5214992604874e-05
130,0.0119398891309835,48,78868.68563594123,7.749693374428014e-05,1.3582402900504439e-09,1.3237972083863194e-09,3.093942004269146e-05
138,0.0123017858114192,96,67777.22353501651,4.328300581463814e-05,1.303823093496066e-09,1.2653493105497209e-09,2.9699848139196334e-05
146,0.0126533361545441,192,55161.31752512472,2.4174099565430935e-05,1.1853112729001914e-09,1.1423350958949809e-09,2.7000261752089766e-05
149,0.0127826751493414,168,66466.73637239516,1.943066398452392e-05,1.004494416022179e-09,9.742689387129196e-10,2.2881425985893874e-05
141,0.0124347819556168,96,56919.440110963485,3.479002557874073e-05,8.801016788391203e-10,8.491772116580174e-10,2.0047877920680875e-05
133,0.0120768713081607,48,62363.70433732443,6.229050539567402e-05,8.632592581151838e-10,8.355745890504397e-10,1.9664223619501036e-05
139,0.0123462770445697,72,56410.65671916638,4.0243572292006564e-05,7.567221139057793e-10,7.298930657111083e-10,1.723740895423946e-05
145,0.0126099283554135,96,62935.49720298321,2.5999871096479132e-05,7.27251028742394e-10,7.041400322121904e-10,1.6566085706311033e-05
132,0.0120313838723001,48,46749.86160252586,6.699505420826921e-05,6.960021138422896e-10,6.662265341941699e-10,1.585426519041635e-05
140,0.0123906085230912,48,74950.67759596878,3.7417574873566195e-05,6.23216131282596e-10,6.065860980054555e-10,1.4196269838540329e-05
153,0.0129531183434151,144,52039.83613790016,1.4521252873852158e-05,5.037890800481853e-10,4.844274095497157e-10,1.147583536927257e-05
147,0.0126965955496395,56,86147.93334553695,2.2476537965546113e-05,5.020055948688919e-10,4.903510937015717e-10,1.1435209275711448e-05
136,0.0122123170908543,48,40750.6910342829,5.006787849506296e-05,4.5340014384318386e-10,4.3114775340093366e-10,1.0328023399497307e-05
142,0.0124787990205374,48,61945.101864507065,3.2346988917888345e-05,4.452750052285944e-10,4.3089856570953283e-10,1.0142940481295449e-05
150,0.0128254983016186,120,41183.11867243702,1.806619748387626e-05,4.133457527434217e-10,3.932721999835592e-10,9.415622523254888e-06
128,0.0118476878350889,12,77312.78721619344,8.964504635065758e-05,3.850393551941215e-10,3.750787944884929e-10,8.7708297497754e-06
155,0.0130375043716573,96,68556.81735600461,1.2553427296436994e-05,3.8249912104609503e-10,3.713405190048177e-10,8.712965635532653e-06
161,0.0132874473285268,192,49522.9641405486,8.110301172027269e-06,3.5701880365453844e-10,3.4260049045982334e-10,8.132548276120359e-06
154,0.0129953798532305,96,58636.02858750025,1.3501536660880455e-05,3.518562176100307e-10,3.398548516892481e-10,8.014949483544688e-06
152,0.0129107184969422,72,62050.60376180434,1.5617984109713343e-05,3.230351145166597e-10,3.126231251101842e-10,7.3584322080437515e-06
157,0.0131213477075888,72,60162.58775419436,1.0852268620067408e-05,2.1763352106229842e-10,2.1039867531558678e-10,4.957484307335866e-06
166,0.0134921966360017,120,64232.86065037145,5.6355011178261386e-06,2.0110242110907716e-10,1.9484075320038146e-10,4.5809215967705396e-06
164,0.0134106720428945,96,69132.598554751,6.518899968141793e-06,2.0029710867383364e-10,1.9450253092437423e-10,4.562577346579967e-06
158,0.0131630691092419,96,43883.89836607602,1.009019703054681e-05,1.9679874710319925e-10,1.8782968307604653e-10,4.4828880022953504e-06
170,0.0136537855889663,144,66419.49716459833,4.2116181345115075e-06,1.8648903916237198e-10,1.8087354831635662e-10,4.248042675709669e-06
