plateau_tmin,number_of_late_points,plateau_median,plateau_q16,plateau_q84,plateau_q025,plateau_q975,slope_median,slope_q16,slope_q84,slope_q025,slope_q975,p_plateau_ge_3,p_slope_gt_0
3072,11,3.0124002223338344,2.990970785516383,3.034112591788958,2.9699083280512695,3.0539006324175775,0.00797919564454731,-0.008386285802136883,0.023947741377257376,-0.024331338991964283,0.03954279838847885,0.7155,0.6931
3584,10,3.0123555373998103,2.9898306180390106,3.0353282142799545,2.9677720299385095,3.0560708066767677,0.010343030721186312,-0.006150582365686598,0.026641629407613752,-0.022233510499984895,0.04190598459656019,0.7073,0.737
4096,9,3.0127710171172595,2.9891882405950065,3.037003194996036,2.965987255582073,3.0591270995247277,0.012014093608337632,-0.00421799191425761,0.028138696631485365,-0.020089048576324306,0.043319170115856474,0.7066,0.7714
5120,8,3.013744842935136,2.988748669578724,3.039070263425525,2.9646627879157923,3.06222888389957,0.012640747417337866,-0.003264817718424936,0.02833220405266017,-0.018760249455901414,0.04316806728978031,0.7128,0.7851
6144,7,3.0150132859799843,2.9887545283104187,3.0414676550762048,2.9629927788421973,3.0663863881141458,0.011305013036665614,-0.002792203091099014,0.025230788830715084,-0.016445097277040265,0.03834059525307462,0.7188,0.7868
