diffusion_time,ell_f0.500_mpc_h,best_fit_length_mpc_h,compensated_length_ratio,fractional_residual,absolute_residual_mpc_h
512,146.62301266733354,145.9284579153199,1.0047595565795444,0.004759556579544411,0.6945547520136302
1024,206.90389163494612,206.37400432003685,1.0025676068875784,0.0025676068875783997,0.5298873149092742
2048,300.8994828122955,291.8569158306398,1.030982877194875,0.030982877194875025,9.042566981655682
4096,434.4005621521508,412.7480086400737,1.0524594984320292,0.05245949843202924,21.652553512077134
8192,600.7251045443246,583.7138316612796,1.0291431724936686,0.0291431724936686,17.011272883044967
16384,799.1886709733709,825.4960172801474,0.9681314679222146,-0.031868532077785394,-26.30734630677648
