bootstrap_seed,crossing_success,crossing_median,crossing_q16,crossing_q84,plateau_median,plateau_q16,plateau_q84,slope_median,slope_q16,slope_q84,p_plateau_ge_3,p_slope_gt_0
12345,0.9375,1836.9896421083158,1616.9557402986145,2191.6720387810765,3.0123555373998103,2.9898306180390106,3.0353282142799545,0.010343030721186312,-0.006150582365686598,0.026641629407613752,0.7073,0.737
24680,0.9409,1837.7069439781603,1622.4906013753969,2185.064630171144,3.0126264192517316,2.989907766533832,3.0353409283960064,0.010648657301348943,-0.005974971499274231,0.02660618914738539,0.7083,0.7361
97531,0.9339,1832.7841590754251,1619.6574494540776,2199.945610026271,3.0124777343858606,2.990099035745565,3.0353281298218215,0.010511292861701303,-0.006240133069210977,0.02648497828142373,0.7122,0.738
